mname;smiles;homo;lumo;;
AZO1;COC(C=C1)=CC=C1N2C3=CC=CC=C3SC4=C2C=CC(/C=N/C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)=C4;4.97;1.43;;
AZO2;COC(C=C1)=CC=C1N2C3=CC=C(/C=N/C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C=C3SC7=C2C=CC(/C=N/C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C7;4.94;1.64;;
AZO3;COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3/N=C/C(C=C4)=CC=C4N5C6=CC=CC=C6SC7=C5C=CC=C7;4.97;;;
AZO4;CCSC(C=C1)=CC2=C1SC3=CC=CC=C3N2C4=CC=C(/C=N/C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C=C4;4.99;;;
L-H;COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)=C(C8=C4C=C9)C=CC%10=C8C9=C(C%11=CC=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)C=C%10C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14;5.42;2.71;;
L-F;FC1=C(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)C=CC(C4=CC(C5=CC(F)=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)=C(C8=C4C=C9)C=CC%10=C8C9=C(C%11=CC(F)=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)C=C%10C%14=CC(F)=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)=C1;5.62;2.96;;
TFI;FC1=C(F)C(OCCCCN2C3=CC=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C=C3C7=C2C=CC(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C7)=C(F)C(F)=C1I;4.96;;;
PF;FC1=C(F)C(OCCCCN2C3=CC=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C=C3C7=C2C=CC(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C7)=C(F)C(F)=C1F;4.97;;;
SR-1;CCCCC(CC)CN1C2=CC=C(/C=C(C#N)\C#N)C=C2SC3=C1C=CC(C4=CC5=C(S4)C(OCC(CCCC)CC)=C6C(SC(C7=CC=C(N(CC(CC)CCCC)C8=CC=C(/C=C(C#N)\C#N)C=C8S9)C9=C7)=C6)=C5OCC(CCCC)CC)=C3;5.32;3.16;;
SR-2;CCCCC(CC)CN1C2=CC=C(/C=C3C(C4=C(C=CC=C4)C\3=O)=O)C=C2SC5=C1C=CC(C6=CC7=C(S6)C(OCC(CCCC)CC)=C8C(SC(C9=CC=C(N(CC(CC)CCCC)C%10=CC=C(/C=C%11C(C%12=C(C=CC=C%12)C\%11=O)=O)C=C%10S%13)C%13=C9)=C8)=C7OCC(CCCC)CC)=C5;5.28;3.24;;
